Entity,Code,Year,GDP per Capita,Region,Population,Outdoor air pollution,High systolic blood pressure,Diet high in sodium,Diet low in whole grains,Alcohol use,Diet low in fruits,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Household air pollution from solid fuels,Diet low in vegetables,Low physical activity,Smoking,High fasting plasma glucose,Air pollution,High body-mass index,Unsafe sanitation,No access to handwashing facility,Drug use,Low bone mineral density,Vitamin A deficiency,Child stunting,Discontinued breastfeeding,Non-exclusive breastfeeding,Iron deficiency
Grenada,GRD,2019,10966,Americas,112003,51,164,13,33,45,8,1,11,9,3,14,4,2,14,22,55,178,54,126,0,4,2,4,0,0,0,0,0
Guatemala,GTM,2019,4620,Americas,17581472,3789,11308,1751,1826,5890,1145,2027,1031,2505,3441,1792,371,5296,862,172,3788,14506,9065,8174,1186,1097,492,578,12,574,22,293,72
Guinea,GIN,2019,1064,Africa,12771246,2570,8995,849,989,1850,653,5562,1198,9501,8501,4695,39,13752,833,326,4250,5476,16242,3910,3898,5107,161,363,252,1442,41,996,529
Guinea-Bissau,GNB,2019,698,Africa,1920922,369,1506,137,158,591,172,1053,143,1422,899,1034,5,1639,176,55,301,873,1998,619,759,643,40,47,96,197,6,101,35
Guyana,GUY,2019,5468,Americas,782766,411,1478,119,216,474,164,49,117,171,69,214,10,55,112,174,423,1444,466,1129,21,50,22,35,0,3,1,7,4
Haiti,HTI,2019,755,Americas,11263770,1913,17247,1228,2417,4249,1510,3502,842,5949,4524,5570,305,12151,1874,1376,3117,12977,14018,5592,2483,2404,298,255,70,522,71,1011,350
Honduras,HND,2019,2575,Americas,9746117,1882,9885,1491,1224,2786,747,779,817,1447,511,476,699,3875,793,214,4226,7525,5720,5622,473,161,287,242,4,54,14,136,34
Hungary,HUN,2019,16476,Europe,9684679,7322,34377,12209,7228,9115,2780,59,3600,112,24,530,3327,1347,1057,2193,24823,22659,8617,20490,30,15,223,1063,0,1,0,2,1
Iceland,ISL,2019,66945,Europe,339031,19,374,37,88,71,33,0,30,4,2,6,23,0,29,56,345,228,19,204,0,1,21,21,0,0,0,0,0
India,IND,2019,2104,Asia,1366417754,1147669,1471889,174797,258257,343695,256232,508290,240098,445535,118283,78979,164172,606890,134007,96012,1013282,1121914,1667331,579108,291103,173939,72903,118682,1501,21575,676,17973,10098
Indonesia,IDN,2019,4136,Asia,270625568,110127,477723,91668,38678,17644,46157,45774,52555,30861,31566,12603,1810,76867,35542,24404,246359,259251,186267,186657,16362,10170,6012,10053,204,2344,213,2646,801
Iran,IRN,2019,5506,Asia,82913906,43536,99939,3876,29090,2976,2003,511,10607,6254,650,1154,3471,97,1672,14446,39926,68121,43203,61415,143,504,5980,3048,1,45,4,92,26
Iraq,IRQ,2019,5955,Asia,39309783,25637,55716,1845,11803,817,4485,382,6635,6620,881,354,6172,64,1040,8308,25199,38016,25626,36481,127,114,1098,773,5,122,11,169,55
Ireland,IRL,2019,78661,Europe,4882495,551,5786,336,954,1543,448,1,435,60,8,111,273,2,271,1003,6184,3655,552,2977,2,18,333,200,0,0,0,1,0
Israel,ISR,2019,43641,Asia,8519377,2479,8255,609,1869,651,184,13,542,175,51,180,37,4,40,1265,6144,7384,2456,5134,10,24,273,348,0,0,0,2,1
Italy,ITA,2019,33190,Europe,60550075,28153,123001,11912,32194,30365,4228,47,8374,463,577,2171,5401,121,3935,18354,90489,95753,27902,64136,26,142,6292,7590,0,0,0,5,2
Jamaica,JAM,2019,5582,Americas,2948279,964,3852,331,645,418,288,32,340,358,66,575,32,199,221,790,1721,4813,1160,3434,15,61,34,69,0,1,0,3,4
Japan,JPN,2019,40247,Asia,126860301,42742,196385,38087,30877,47795,19206,542,16796,358,1470,4499,12031,95,3448,20536,199396,101141,42565,51822,103,2360,10535,8921,0,8,1,12,5
Jordan,JOR,2019,4330,Asia,10101694,3145,8168,286,2044,186,564,29,1014,1433,194,84,173,2,297,1037,4742,6176,3131,7548,4,49,128,153,1,18,2,42,13
Kazakhstan,KAZ,2019,9731,Asia,18551427,10704,43243,4973,9455,9586,3450,29,3556,1265,376,914,2949,1424,374,2693,20164,22698,12039,22828,24,141,2552,419,1,28,1,63,9
Kenya,KEN,2019,1817,Africa,52573973,5738,27284,2923,2724,15862,3079,15405,1832,16142,12360,44890,1120,22109,2155,360,10246,13989,27739,15025,11367,10818,5534,1144,473,1361,95,2157,825
Kiribati,KIR,2019,1655,Oceania,117606,20,177,28,44,20,32,34,52,32,24,30,3,133,28,19,252,284,152,229,21,7,9,2,1,2,0,1,2
Kuwait,KWT,2019,32032,Asia,4207083,1551,2534,191,619,32,173,2,357,197,17,23,127,1,25,484,1524,1787,1543,2317,0,25,59,76,0,1,0,4,0
Kyrgyzstan,KGZ,2019,1309,Asia,6415850,2770,7868,1249,2929,2862,1087,57,1221,958,250,303,1202,1432,189,583,5025,2684,4159,4479,57,37,595,102,1,33,2,45,10
Laos,LAO,2019,2535,Asia,7169455,1484,8195,1799,680,2381,774,914,1382,2448,1492,557,127,6332,675,292,5848,6440,7766,3529,609,520,154,196,20,247,7,233,56
Latvia,LVA,2019,17836,Europe,1906743,1131,9326,637,1847,1614,817,1,496,18,3,159,650,104,381,1084,3690,2924,1234,4366,1,7,211,118,0,0,0,1,0
Lebanon,LBN,2019,7784,Asia,6855713,3389,9757,334,3146,262,160,40,1352,339,47,98,76,10,46,1858,7811,7144,3382,6165,2,50,229,110,0,4,0,8,2
Lesotho,LSO,2019,1158,Africa,2125268,884,2660,189,203,1661,488,1218,482,1011,758,10173,98,1633,265,129,2217,2586,2499,2328,893,925,348,95,16,99,9,102,30
Liberia,LBR,2019,622,Africa,4937374,672,2955,259,356,1181,334,2060,173,2086,1639,1747,96,2714,306,150,675,1946,3376,1719,1415,1247,71,103,52,231,25,234,174
Libya,LBY,2019,7684,Africa,6777452,3460,8654,285,2126,209,428,37,1161,280,51,166,446,8,347,1280,3663,5810,3445,6200,13,43,266,286,0,6,0,5,4
Lithuania,LTU,2019,19455,Europe,2759627,1280,12457,937,2665,2310,983,5,576,21,7,188,1020,61,562,1633,4934,3124,1340,5807,3,11,331,200,0,0,0,1,0
Luxembourg,LUX,2019,114705,Europe,615729,103,763,56,126,280,51,0,50,4,7,12,60,0,33,85,676,567,102,353,0,2,41,52,0,0,0,0,0
Madagascar,MDG,2019,522,Africa,26969307,2345,22665,3558,1772,4171,2695,15677,1457,13143,17338,3906,1086,21459,2573,260,5413,7743,23748,8532,12120,9003,328,439,688,3067,141,2038,448
Malawi,MWI,2019,412,Africa,18628747,1379,11117,1650,836,4415,1192,6472,696,8978,5691,13517,73,12379,1146,208,4746,6619,13717,4553,4796,4563,280,391,124,947,32,536,266
Malaysia,MYS,2019,11415,Asia,31949777,10888,41081,7908,6540,3388,2790,726,5964,1066,401,1806,83,111,3124,3539,24588,24609,10960,19105,80,472,1398,1400,0,25,1,28,42
Maldives,MDV,2019,10791,Asia,530953,59,338,66,65,13,32,9,46,57,8,7,14,23,22,29,205,240,81,110,3,4,16,8,0,1,0,1,1
